FK__Std_Compa__Compa__114A936A,Std_Company,Company_ID,Company,Company_ID
FK__Std_Freel__Free___160F4887,Std_Freelance,Free_ID,Freelance_Platform,Free_ID
FK__Student_C__Crtf___19DFD96B,Student_Crtf,Crtf_ID,Certificate,Crtf_ID
FK_User_Person_User,User_Person,AccountID,User,AccountID
FK__Phone__P_ID__03F0984C,Phone,P_ID,Person,P_ID
FK_User_Person_Person,User_Person,P_ID,Person,P_ID
FK__Student__STD_ID__5165187F,Student,STD_ID,Person,P_ID
FK__Branch__M_ID__46E78A0C,Branch,M_ID,Manager,M_ID
FK_Supervisor_Department,Supervisor,Dept_ID,Department,Dept_ID
FK__Track__Dept_ID__4AB81AF0,Track,Dept_ID,Department,Dept_ID
FK__Instructo__Dept___571DF1D5,Instructor,Dept_ID,Department,Dept_ID
FK__Student__Branch___534D60F1,Student,Branch_ID,Branch,Branch_ID
FK__Intake_Br__Branc__7C4F7684,Intake_Brch_Trk,Branch_ID,Branch,Branch_ID
FK_Track_Crs_Track,Track_Crs,Track_ID,Track,Track_ID
FK__Student__Track_I__52593CB8,Student,Track_ID,Track,Track_ID
FK__Intake_Br__Track__7B5B524B,Intake_Brch_Trk,Track_ID,Track,Track_ID
FK__Student__Intake___5441852A,Student,Intake_ID,Intake,Intake_ID
FK__Intake_Br__Intak__7D439ABD,Intake_Brch_Trk,Intake_ID,Intake,Intake_ID
FK__Std_Compa__STD_I__123EB7A3,Std_Company,STD_ID,Student,STD_ID
FK__Std_Freel__STD_I__17036CC0,Std_Freelance,STD_ID,Student,STD_ID
FK__Student_C__STD_I__1AD3FDA4,Student_Crtf,STD_ID,Student,STD_ID
FK__Std_Exam___STD_I__787EE5A0,Std_Exam_Qst,STD_ID,Student,STD_ID
FK_Supervisor_Instructor,Supervisor,Ins_ID,Instructor,Ins_ID
FK_Ins_Crs_Instructor,Ins_Crs,Ins_ID,Instructor,Ins_ID
FK__Exam__Ins_ID__6477ECF3,Exam,Ins_ID,Instructor,Ins_ID
FK__Course__Topic_ID__60A75C0F,Course,Topic_ID,Topic,Topic_ID
FK_Track_Crs_Course,Track_Crs,Crs_ID,Course,Crs_ID
FK_Crs_Qst_Course,Crs_Qst,Crs_ID,Course,Crs_ID
FK_Ins_Crs_Course,Ins_Crs,Crs_ID,Course,Crs_ID
FK__Exam__Crs_ID__656C112C,Exam,Crs_ID,Course,Crs_ID
FK__Exam_Qst__Exam_I__74AE54BC,Exam_Qst,Exam_ID,Exam,Exam_ID
FK_Questions_Choices_Questions,Questions_Choices,Q_ID,Questions,Q_ID
FK_Crs_Qst_Questions,Crs_Qst,Q_ID,Questions,Q_ID
FK__Exam_Qst__Q_ID__73BA3083,Exam_Qst,Q_ID,Questions,Q_ID
FK__Std_Exam___ExamQ__778AC167,Std_Exam_Qst,ExamQst_ID,Exam_Qst,ExamQst_ID
